alpha,exact_22524,poly_22524,exact_54688,poly_54688,exact_57911,poly_57911,exact_31239,poly_31239,exact_97108,poly_97108,exact_34644,poly_34644,exact_26805,poly_26805,exact_54954,poly_54954
6.3095734448e-02,0.0000000000e+00,-3.3242692249e-05,0.0000000000e+00,-1.3086605051e-05,0.0000000000e+00,-1.8508453759e-05,0.0000000000e+00,-1.1541953117e-05,0.0000000000e+00,-1.4447534571e-05,0.0000000000e+00,-1.4408736845e-05,0.0000000000e+00,-1.0674108352e-05,0.0000000000e+00,-8.4276349531e-06
7.9432823472e-02,0.0000000000e+00,-5.2954746140e-05,0.0000000000e+00,-2.0957851591e-05,0.0000000000e+00,-2.9566977849e-05,0.0000000000e+00,-1.8507903866e-05,0.0000000000e+00,-2.3125168628e-05,0.0000000000e+00,-2.3064505066e-05,0.0000000000e+00,-1.7133691142e-05,0.0000000000e+00,-1.3570593969e-05
1.0000000000e-01,0.0000000000e+00,-8.4248905696e-05,0.0000000000e+00,-3.3486083579e-05,0.0000000000e+00,-4.7146552633e-05,0.0000000000e+00,-2.9601356077e-05,0.0000000000e+00,-3.6931340665e-05,0.0000000000e+00,-3.6836014285e-05,0.0000000000e+00,-2.7424592626e-05,0.0000000000e+00,-2.1774812657e-05
1.2589254118e-01,0.0000000000e+00,-1.3391310057e-04,0.0000000000e+00,-5.3408901193e-05,0.0000000000e+00,-7.5075018082e-05,0.0000000000e+00,-4.7250222841e-05,0.0000000000e+00,-5.8879433338e-05,0.0000000000e+00,-5.8729160275e-05,0.0000000000e+00,-4.3801487613e-05,0.0000000000e+00,-3.4844570086e-05
1.5848931925e-01,0.0000000000e+00,-2.1270900466e-04,0.0000000000e+00,-8.5068671413e-05,0.0000000000e+00,-1.1942264464e-04,0.0000000000e+00,-7.5306051350e-05,0.0000000000e+00,-9.3748892832e-05,0.0000000000e+00,-9.3511522781e-05,0.0000000000e+00,-6.9841358337e-05,0.0000000000e+00,-5.5643021041e-05
1.9952623150e-01,0.0000000000e+00,-3.3769716625e-04,0.0000000000e+00,-1.3535206778e-04,0.0000000000e+00,-1.8981463546e-04,0.0000000000e+00,-1.1987761966e-04,0.0000000000e+00,-1.4911910827e-04,0.0000000000e+00,-1.4874368322e-04,0.0000000000e+00,-1.1121782575e-04,0.0000000000e+00,-8.8712448345e-05
2.5118864315e-01,0.0000000000e+00,-5.3592232745e-04,0.0000000000e+00,-2.1517937943e-04,0.0000000000e+00,-3.0151154053e-04,0.0000000000e+00,-1.9065233752e-04,0.0000000000e+00,-2.3700823856e-04,0.0000000000e+00,-2.3641399151e-04,0.0000000000e+00,-1.7692862082e-04,0.0000000000e+00,-1.4125753554e-04
3.1622776602e-01,0.0000000000e+00,-8.5025456008e-04,0.0000000000e+00,-3.4186520759e-04,0.0000000000e+00,-4.7870679065e-04,0.0000000000e+00,-3.0299082629e-04,0.0000000000e+00,-3.7647087819e-04,0.0000000000e+00,-3.7552979696e-04,0.0000000000e+00,-2.8124129617e-04,0.0000000000e+00,-2.2470405000e-04
3.9810717055e-01,0.0000000000e+00,-1.3486472171e-03,0.0000000000e+00,-5.4286029596e-04,0.0000000000e+00,-7.5975331413e-04,0.0000000000e+00,-4.8124698323e-04,0.0000000000e+00,-5.9771545779e-04,0.0000000000e+00,-5.9622465036e-04,0.0000000000e+00,-4.4677734992e-04,0.0000000000e+00,-3.5716956795e-04
5.0118723363e-01,0.0000000000e+00,-2.1388102693e-03,0.0000000000e+00,-8.6168240887e-04,0.0000000000e+00,-1.2054476413e-03,0.0000000000e+00,-7.6403040552e-04,0.0000000000e+00,-9.4863036013e-04,0.0000000000e+00,-9.4626825630e-04,0.0000000000e+00,-7.0940070914e-04,0.0000000000e+00,-5.6737978671e-04
6.3095734448e-01,0.0000000000e+00,-3.3914665709e-03,0.0000000000e+00,-1.3673167397e-03,0.0000000000e+00,-1.9121599237e-03,0.0000000000e+00,-1.2125473704e-03,0.0000000000e+00,-1.5051277159e-03,0.0000000000e+00,-1.5013846511e-03,0.0000000000e+00,-1.1259660542e-03,0.0000000000e+00,-9.0087606162e-04
7.9432823472e-01,0.0000000000e+00,-5.3772113053e-03,0.0000000000e+00,-2.1691153096e-03,0.0000000000e+00,-3.0326443652e-03,0.0000000000e+00,-1.9238211538e-03,0.0000000000e+00,-2.3875379689e-03,0.0000000000e+00,-2.3816061666e-03,0.0000000000e+00,-1.7865998406e-03,0.0000000000e+00,-1.4298544450e-03
1.0000000000e+00,0.0000000000e+00,-8.5249312122e-03,0.0000000000e+00,-3.4404118740e-03,0.0000000000e+00,-4.8090224812e-03,0.0000000000e+00,-3.0516457738e-03,0.0000000000e+00,-3.7865944609e-03,0.0000000000e+00,-3.7771936652e-03,0.0000000000e+00,-2.8341653584e-03,0.0000000000e+00,-2.2687604632e-03
